null,alt_1,alt_2
0.3131009485208523,0.1616766807045366,0.4272679151974059
0.41240833814404965,0.21350362254395167,0.5626258542554944
0.5137890894663838,0.26562747092315664,0.6942031830170269
0.6287370138955586,0.3246851633929637,0.8412567895199186
0.7564846701741986,0.39010289655546854,1.0018215398280306
0.8954120470252,0.4607791647020364,1.1726486973090333
1.0433866012607538,0.5351420611318771,1.3494480847222383
1.1977784831912872,0.6111443345333777,1.5269133612877643
1.3555887167624434,0.686333915600569,1.6989251198668525
1.5136064755284215,0.7579911993277969,1.8588920791354457
1.668332597215125,0.8232618033341791,2.000011438785571
1.816508994324369,0.879502801005408,2.1161081826533645
1.956805171291544,0.9251221094348991,2.203907068963077
2.084583560632617,0.9581055242117037,2.2583866735021623
2.1984407649357234,0.9783270106602462,2.279479543259211
2.2955174872422726,0.9860290454777576,2.267403113382891
2.3782058379478066,0.9846211914085855,2.2309907563024938
2.4422350643549238,0.9753888347619866,2.1720226373623315
2.4885625387686625,0.9623338681645505,2.099896621548454
2.5173590796459733,0.9491980186687908,2.023080326605807
2.5291339763046716,0.9395298803398365,1.9496878139759029
2.524712460965511,0.9362631409270511,1.8865891752408632
2.5051093946146956,0.9413613352478307,1.8386512692019221
2.4715350299629324,0.9556247895364198,1.8083504279599765
2.425303142608243,0.9786362236417121,1.7956599753162827
2.36780438513771,1.0088709393371817,1.7982881269011353
2.300452971574008,1.0439336774113477,1.81217206686563
2.224665573330225,1.0808783685001135,1.8321343308469744
2.141824970946542,1.1165590156787084,1.8525925771320004
2.053268898290789,1.1479613826562294,1.8682170007973524
1.9602640657901467,1.1724757291003616,1.8744586936319314
1.8640028292995396,1.1880868726668135,1.8679001433441291
1.7655925484914063,1.1934788794446134,1.8464371989967518
1.666052447983221,1.1880453423003763,1.8092647788068947
1.5663079271006117,1.1718325428546132,1.7567338551388854
1.4671954522446162,1.1454472806414233,1.6901623191686264
1.3694586942976315,1.1099224923990787,1.6115583828789488
1.273754188727276,1.0665752572082332,1.5233383567753331
1.1806497815805712,1.0168766361301633,1.4280867681397291
1.0906302799211525,0.9623477277703627,1.3283744936764004
1.0040967589285372,0.9044687228774106,1.226606233154128
0.9213725231656987,0.8446141017659387,1.124917341400459
0.8427054317473004,0.7840074087566353,1.02511146715678
0.7682733404224661,0.7236993378534428,0.9286414724285587
0.6981885791213699,0.6645609458543689,0.8366180526664885
0.6325048529200346,0.6072903512529074,0.7498393486660256
0.5712227569766428,0.552424560501488,0.6688275971096819
0.5142969689584678,0.5003573112392311,0.5938722146756996
0.4616422283468936,0.45135721760870184,0.5250710610026756
0.41313958948337814,0.40558690564685335,0.4623702586726015
0.36864229426414713,0.3631207813549189,0.40559943690509304
0.32798130344064913,0.32396175285222667,0.35450280465436473
0.2909698162364785,0.28805536111822444,0.30876448210855173
0.25740775336703103,0.25530273669262477,0.26802998470207656
0.22708671357781332,0.22557189952959583,0.23192372271603906
0.19979282062216744,0.1987065976449385,0.20006192072751766
0.17531057759927166,0.17453435345711926,0.1720632977297416
0.15342590432467806,0.15287305152666356,0.1475569525039499
0.1339287685231436,0.13353627798041476,0.12618808460487826
0.11661531001333404,0.11633754622466125,0.10762183863858783
0.10128984113370261,0.10109387442471846,0.09154607975283054
0.08776608470793988,0.08762823903446765,0.07767263553557348
0.07586825344210128,0.07577157125691997,0.06573782458599578
0.06543158965398814,0.06536397053347645,0.05550213563196419
0.05630281423350946,0.05625565237442108,0.04674960405933883
0.048340194815700295,0.048307390389506426,0.03928667185438209
0.041413535064174896,0.04139077784443463,0.032940927011470104
0.035403840027740746,0.03538809361079451,0.02755955264179174
0.030202993774313597,0.030192125809525957,0.02300780911614687
0.02571323433113631,0.025705751840733187,0.019167431150951514
0.021846648381373953,0.021841509119886013,0.015935116351647367
0.018524512249973223,0.01852099085307559,0.013220983617336623
0.015676695056115526,0.015674287915073398,0.010947199388232985
0.013240993841108958,0.013239352032822423,0.009046637100025418
0.011162400858529115,0.011161283431755289,0.007461555484544594
0.009392421953935654,0.00939166305285486,0.006142440781420766
0.007888512236205163,0.00788799792887828,0.005047025818109789
0.006613428708137099,0.006613080892147436,0.004139313519610706
0.005534657369650764,0.0055344226332824445,0.003388725023273843
0.004623893967003887,0.004623735866461255,0.0027693554286783197
